UniqueDBIdentifier	Identifier	PosNeg	m/z	Retention time (min)	MultipleRetentionTimes	KEGG ID	HMDB	PubChem	Identity	Formula	Note	Conflict_flag_old	Conflict_1_old	Conflict_2_old
2B8_124.016904_5.53_Neg	2B8	Neg	124.016904	5.53		C03557	HMDB0011747	339	(2-Aminoethyl)phosphonate	C2H8NO3P				
2B8_126.031456_5.64_Pos	2B8	Pos	126.031456	5.64		C03557	HMDB0011747	339	(2-Aminoethyl)phosphonate	C2H8NO3P				
1F12_133.014247_5.95_Neg	1F12	Neg	133.014247	5.95		C00497	HMDB0031518	92824	(R)-Malate	C4H6O5				
1G10_149.009162_6.45_Neg	1G10	Neg	149.009162	6.45		C00898	HMDB0000956	44150613	"(R,R)-Tartaric acid"	C4H6O6				
6C6_147.066282_2.21_Neg	6C6	Neg	147.066282	2.21		C00418	HMDB0000227	449	(RS)-Mevalonic acid	C6H12O4				
6C6_149.080835_2.22_Pos	6C6	Pos	149.080835	2.22		C00418	HMDB0000227	449	(RS)-Mevalonic acid	C6H12O4				
Pyo's std_147.029897_5.29_Neg	Pyo's std	Neg	147.029897	5.29	1	C03196	HMDB0000694	43	(S)-2-Hydroxyglutarate	C5H8O5				
Pyo's std_147.029897_5.52_Neg	Pyo's std	Neg	147.029897	5.52	1	C03196	HMDB0000694	43	(S)-2-Hydroxyglutarate	C5H8O5				
1C9_157.025481_3.57_Neg	1C9	Neg	157.025481	3.57		C00337	HMDB0003349	439216	(S)-Dihydroorotate	C5H6N2O4				
1E7._89.024418_2.68_Neg	1E7.	Neg	89.024418	2.68		C00186	HMDB0000190	107689	(S)-Lactate	C3H6O3				
1F4_133.014247_5.83_Neg	1F4	Neg	133.014247	5.83		C00149	HMDB0000156	222656	(S)-Malate	C4H6O5				
5B7_163.122974_1.37_Pos	5B7	Pos	163.122974	1.37		C00745	HMDB0001934	89594	(S)-Nicotine	C10H14N2				
2A6_149.009162_6.53_Neg	2A6	Neg	149.009162	6.53		C02107	HMDB0029878	439655	"(S,S)-Tartaric acid"	C4H6O6				
2A6_151.023714_5.76_Pos	2A6	Pos	151.023714	5.76		C02107	HMDB0029878	439655	"(S,S)-Tartaric acid"	C4H6O6				
5E10._187.133969_1.23_Neg	5E10.	Neg	187.133969	1.23		C02774		74300	10-Hydroxydecanoate	C10H20O3				
7B10_345.207133_1.26_Neg	7B10	Neg	345.207133	1.26		C05488	HMDB0000015	440707	11-Deoxycortisol (Reichstein's substance S)	C21H30O4	need () for matching <= 2020 database	1	KEGG ID	Formula; HMDB; Identity; PubChem
7B10_347.221686_1.26_Pos	7B10	Pos	347.221686	1.26		C05488	HMDB0000015	440707	11-Deoxycortisol (Reichstein's substance S)	C21H30O4	need () for matching <= 2020 database	1	KEGG ID	Formula; HMDB; Identity; PubChem
2E4._100.040403_4.14_Neg	2E4.	Neg	100.040403	4.14		C01234	HMDB0036458	535	1-Aminocyclopropane-1-Carboxylate	C4H7NO2				
2E4._102.054955_4.24_Pos	2E4.	Pos	102.054955	4.24		C01234	HMDB0036458	535	1-Aminocyclopropane-1-Carboxylate	C4H7NO2				
7E10._187.040067_1.18_Neg	7E10.	Neg	187.040067	1.18		C03203		54675865	1-Hydroxy-2-Naphthoate	C11H8O3				
6C11_178.087352_10.51_Neg	6C11	Neg	178.087352	10.51		C09642	HMDB0013068	100185	"1-Methyl-6,7-Dihydroxy-1,2,3,4-Tetrahydroisoquinoline"	C10H13NO2	3.5min wide			
6C11_180.101905_10.61_Pos	6C11	Pos	180.101905	10.61		C09642	HMDB0013068	100185	"1-Methyl-6,7-Dihydroxy-1,2,3,4-Tetrahydroisoquinoline"	C10H13NO2				
2D1_280.105128_5.77_Neg	2D1	Neg	280.105128	5.77		C02494	HMDB0003331	27476	1-Methyladenosine	C11H15N5O4				
2D1_282.119681_5.74_Pos	2D1	Pos	282.119681	5.74		C02494	HMDB0003331	27476	1-Methyladenosine	C11H15N5O4				
7F9_355.285383_1.07_Neg	7F9	Neg	355.285383	1.07			HMDB0011567	5283468	1-Oleoyl-rac-Glycerol	C21H40O4				
5D5_153.019333_2.07_Neg	5D5	Neg	153.019333	2.07		C00196	HMDB0000397	19	"2,3-Dihydroxybenzoate"	C7H6O4				
6C2_151.040067_1.36_Neg	6C2	Neg	151.040067	1.36		C03663	HMDB0029659	6990	"2',4'-Dihydroxyacetophenone"	C8H8O3				
6C2_153.054621_1.3_Pos	6C2	Pos	153.054621	1.3		C03663	HMDB0029659	6990	"2',4'-Dihydroxyacetophenone"	C8H8O3				
4A5_163.026149_2.42_Neg	4A5	Neg	163.026149	2.42		C03212		10250	"2,4-Dihydroxypteridine"	C6H4N4O2				
4A5_165.040701_2.47_Pos	4A5	Pos	165.040701	2.47		C03212		10250	"2,4-Dihydroxypteridine"	C6H4N4O2				
3G4_155.009831_4.41_Neg	3G4	Neg	155.009831	4.41				90301	"2,4-Dihydroxypyrimidine-5-carboxylic acid"	C5H4N2O4				
3G4_157.024383_4.55_Pos	3G4	Pos	157.024383	4.55				90301	"2,4-Dihydroxypyrimidine-5-carboxylic acid"	C5H4N2O4				
6A1_153.019332_2.15_Neg	6A1	Neg	153.019332	2.15		C00628	HMDB0000152	3469	"2,5-Dihydroxybenzoate"	C7H6O4				
6B7_110.024752_2.39_Neg	6B7	Neg	110.024752	2.39		C03056		3084068	"2,6-Dihydroxypyridine"	C5H5NO2				
6B7_112.039305_2.39_Pos	6B7	Pos	112.039305	2.39		C03056		3084068	"2,6-Dihydroxypyridine"	C5H5NO2				
7F5_401.342504_1_Neg	7F5	Neg	401.342504	1		C15519	HMDB0006247	65094	25-Hydroxycholesterol	C27H46O2				
4A10_102.056053_4.43_Neg	4A10	Neg	102.056053	4.43		C03665	HMDB0001906	6119	2-Amino-2-methylpropanoate	C4H9NO2		1	HMDB; Identity; KEGG ID	PubChem
